时间戳,时间,均价,数据类型
1766808000000,2025-12-27 12:00:00,487,sampled
1766817000000,2025-12-27 14:30:00,494,sampled
1766829600000,2025-12-27 18:00:00,501,sampled
1766840400000,2025-12-27 21:00:00,484,sampled
1766849400000,2025-12-27 23:30:00,498,sampled
1766862000000,2025-12-28 03:00:00,427,sampled
1766872800000,2025-12-28 06:00:00,430,sampled
1766883600000,2025-12-28 09:00:00,427,sampled
1766894400000,2025-12-28 12:00:00,485,sampled
1766905200000,2025-12-28 15:00:00,499,sampled
1766916000000,2025-12-28 18:00:00,499,sampled
1766926800000,2025-12-28 21:00:00,493,sampled
1766937600000,2025-12-29 00:00:00,489,sampled
1766948400000,2025-12-29 03:00:00,404,sampled
1766959200000,2025-12-29 06:00:00,408,sampled
1766970000000,2025-12-29 09:00:00,396,sampled
1766980800000,2025-12-29 12:00:00,399,sampled
1766989800000,2025-12-29 14:30:00,397,sampled
1767002400000,2025-12-29 18:00:00,393,sampled
1767013200000,2025-12-29 21:00:00,396,sampled
1767024000000,2025-12-30 00:00:00,402,sampled
1767034800000,2025-12-30 03:00:00,391,sampled
1767045600000,2025-12-30 06:00:00,393,sampled
1767054600000,2025-12-30 08:30:00,392,sampled
1767067200000,2025-12-30 12:00:00,399,sampled
1767078000000,2025-12-30 15:00:00,406,sampled
1767088800000,2025-12-30 18:00:00,396,sampled
1767099600000,2025-12-30 21:00:00,400,sampled
1767110400000,2025-12-31 00:00:00,449,sampled
1767121200000,2025-12-31 03:00:00,403,sampled
1767132000000,2025-12-31 06:00:00,402,sampled
1767142800000,2025-12-31 09:00:00,404,sampled
1767153600000,2025-12-31 12:00:00,410,sampled
1767164400000,2025-12-31 15:00:00,435,sampled
1767175200000,2025-12-31 18:00:00,449,sampled
1767186000000,2025-12-31 21:00:00,484,sampled
1767196800000,2026-01-01 00:00:00,513,sampled
1767207600000,2026-01-01 03:00:00,473,sampled
1767218400000,2026-01-01 06:00:00,479,sampled
1767229200000,2026-01-01 09:00:00,476,sampled
1767240000000,2026-01-01 12:00:00,514,sampled
1767250800000,2026-01-01 15:00:00,532,sampled
1767261600000,2026-01-01 18:00:00,559,sampled
1767272400000,2026-01-01 21:00:00,555,sampled
1767283200000,2026-01-02 00:00:00,567,sampled
1767294000000,2026-01-02 03:00:00,444,sampled
1767304800000,2026-01-02 06:00:00,425,sampled
1767315600000,2026-01-02 09:00:00,415,sampled
1767326400000,2026-01-02 12:00:00,480,sampled
1767337200000,2026-01-02 15:00:00,502,sampled
