时间戳,时间,均价,数据类型
1769670000000,2026-01-29 15:00:00,556,sampled
1769680800000,2026-01-29 18:00:00,586,sampled
1769691600000,2026-01-29 21:00:00,604,sampled
1769702400000,2026-01-30 00:00:00,673,sampled
1769713200000,2026-01-30 03:00:00,507,sampled
1769724000000,2026-01-30 06:00:00,503,sampled
1769734800000,2026-01-30 09:00:00,439,sampled
1769745600000,2026-01-30 12:00:00,518,sampled
1769756400000,2026-01-30 15:00:00,540,sampled
1769767200000,2026-01-30 18:00:00,569,sampled
1769778000000,2026-01-30 21:00:00,589,sampled
1769788800000,2026-01-31 00:00:00,653,sampled
1769799600000,2026-01-31 03:00:00,527,sampled
1769810400000,2026-01-31 06:00:00,538,sampled
1769821200000,2026-01-31 09:00:00,553,sampled
1769832000000,2026-01-31 12:00:00,559,sampled
1769842800000,2026-01-31 15:00:00,587,sampled
1769853600000,2026-01-31 18:00:00,637,sampled
1769864400000,2026-01-31 21:00:00,673,sampled
1769875200000,2026-02-01 00:00:00,689,sampled
1769886000000,2026-02-01 03:00:00,531,sampled
1769896800000,2026-02-01 06:00:00,536,sampled
1769907600000,2026-02-01 09:00:00,538,sampled
1769918400000,2026-02-01 12:00:00,544,sampled
1769929200000,2026-02-01 15:00:00,570,sampled
1769940000000,2026-02-01 18:00:00,586,sampled
1769949000000,2026-02-01 20:30:00,597,sampled
1769961600000,2026-02-02 00:00:00,628,sampled
1769972400000,2026-02-02 03:00:00,508,sampled
1769983200000,2026-02-02 06:00:00,520,sampled
1769994000000,2026-02-02 09:00:00,521,sampled
1770004800000,2026-02-02 12:00:00,531,sampled
1770015600000,2026-02-02 15:00:00,549,sampled
1770026400000,2026-02-02 18:00:00,568,sampled
1770037200000,2026-02-02 21:00:00,582,sampled
1770046200000,2026-02-02 23:30:00,584,sampled
1770057000000,2026-02-03 02:30:00,594,sampled
1770069600000,2026-02-03 06:00:00,506,sampled
1770080400000,2026-02-03 09:00:00,519,sampled
1770091200000,2026-02-03 12:00:00,524,sampled
1770102000000,2026-02-03 15:00:00,540,sampled
1770112800000,2026-02-03 18:00:00,569,sampled
1770123600000,2026-02-03 21:00:00,583,sampled
1770134400000,2026-02-04 00:00:00,597,sampled
1770145200000,2026-02-04 03:00:00,494,sampled
1770156000000,2026-02-04 06:00:00,506,sampled
1770166800000,2026-02-04 09:00:00,519,sampled
1770177600000,2026-02-04 12:00:00,525,sampled
1770188400000,2026-02-04 15:00:00,547,recent
1770192000000,2026-02-04 16:00:00,555,recent
1770195600000,2026-02-04 17:00:00,562,recent
1770199200000,2026-02-04 18:00:00,569,recent
1770202800000,2026-02-04 19:00:00,573,recent
1770206400000,2026-02-04 20:00:00,583,recent
1770210000000,2026-02-04 21:00:00,583,recent
1770213600000,2026-02-04 22:00:00,584,recent
1770217200000,2026-02-04 23:00:00,593,recent
1770220800000,2026-02-05 00:00:00,597,recent
1770224400000,2026-02-05 01:00:00,596,recent
1770228000000,2026-02-05 02:00:00,594,recent
1770231600000,2026-02-05 03:00:00,497,recent
1770235200000,2026-02-05 04:00:00,505,recent
1770238800000,2026-02-05 05:00:00,507,recent
1770242400000,2026-02-05 06:00:00,514,recent
1770246000000,2026-02-05 07:00:00,520,recent
1770249600000,2026-02-05 08:00:00,520,recent
1770253200000,2026-02-05 09:00:00,519,recent
1770256800000,2026-02-05 10:00:00,521,recent
1770260400000,2026-02-05 11:00:00,524,recent
1770264000000,2026-02-05 12:00:00,525,recent
1770267600000,2026-02-05 13:00:00,539,recent
1770271200000,2026-02-05 14:00:00,539,recent
1770274800000,2026-02-05 15:00:00,549,recent
1770278400000,2026-02-05 16:00:00,555,recent
1770282000000,2026-02-05 17:00:00,560,recent
1770285600000,2026-02-05 18:00:00,569,recent
1770292800000,2026-02-05 20:00:00,581,recent
1770296400000,2026-02-05 21:00:00,583,recent
1770300000000,2026-02-05 22:00:00,583,recent
1770303600000,2026-02-05 23:00:00,584,recent
1770307200000,2026-02-06 00:00:00,596,recent
1770310800000,2026-02-06 01:00:00,595,recent
1770314400000,2026-02-06 02:00:00,594,recent
1770318000000,2026-02-06 03:00:00,512,recent
1770321600000,2026-02-06 04:00:00,495,recent
1770325200000,2026-02-06 05:00:00,504,recent
1770328800000,2026-02-06 06:00:00,505,recent
1770332400000,2026-02-06 07:00:00,504,recent
1770336000000,2026-02-06 08:00:00,503,recent
1770339600000,2026-02-06 09:00:00,503,recent
1770343200000,2026-02-06 10:00:00,502,recent
1770346800000,2026-02-06 11:00:00,508,recent
1770354000000,2026-02-06 13:00:00,522,recent
